task_id,n_shots,cells_changed,cells_usable,cell_change_fraction,pixel_change_fraction,visual_change,peak_shot,verdict,destroyed_decoy_files,agreement,first_shot,last_shot
83,49,29,66,0.4394,0.0932,yes,0035.jpg,TRUE_ENCRYPTION,106,agree,/opt/CAPEv2/storage/analyses/83/shots/0001.jpg,/opt/CAPEv2/storage/analyses/83/shots/0049.jpg
84,31,35,66,0.5303,0.1453,yes,0024.jpg,TRUE_ENCRYPTION,105,agree,/opt/CAPEv2/storage/analyses/84/shots/0001.jpg,/opt/CAPEv2/storage/analyses/84/shots/0031.jpg
85,66,37,66,0.5606,0.1437,yes,0060.jpg,TRUE_ENCRYPTION,111,agree,/opt/CAPEv2/storage/analyses/85/shots/0001.jpg,/opt/CAPEv2/storage/analyses/85/shots/0066.jpg
86,36,38,66,0.5758,0.1537,yes,0026.jpg,TRUE_ENCRYPTION,106,agree,/opt/CAPEv2/storage/analyses/86/shots/0001.jpg,/opt/CAPEv2/storage/analyses/86/shots/0036.jpg
87,48,39,66,0.5909,0.135,yes,0030.jpg,TRUE_ENCRYPTION,104,agree,/opt/CAPEv2/storage/analyses/87/shots/0001.jpg,/opt/CAPEv2/storage/analyses/87/shots/0048.jpg
88,69,43,66,0.6515,0.1735,yes,0063.jpg,TRUE_ENCRYPTION,100,agree,/opt/CAPEv2/storage/analyses/88/shots/0001.jpg,/opt/CAPEv2/storage/analyses/88/shots/0069.jpg
89,63,38,66,0.5758,0.1695,yes,0048.jpg,TRUE_ENCRYPTION,102,agree,/opt/CAPEv2/storage/analyses/89/shots/0001.jpg,/opt/CAPEv2/storage/analyses/89/shots/0063.jpg
90,27,34,66,0.5152,0.1196,yes,0022.jpg,TRUE_ENCRYPTION,103,agree,/opt/CAPEv2/storage/analyses/90/shots/0001.jpg,/opt/CAPEv2/storage/analyses/90/shots/0027.jpg
91,42,38,66,0.5758,0.1458,yes,0036.jpg,TRUE_ENCRYPTION,98,agree,/opt/CAPEv2/storage/analyses/91/shots/0001.jpg,/opt/CAPEv2/storage/analyses/91/shots/0042.jpg
92,55,32,66,0.4848,0.1128,yes,0050.jpg,TRUE_ENCRYPTION,112,agree,/opt/CAPEv2/storage/analyses/92/shots/0001.jpg,/opt/CAPEv2/storage/analyses/92/shots/0055.jpg
93,41,31,66,0.4697,0.09,yes,0041.jpg,TRUE_ENCRYPTION,96,agree,/opt/CAPEv2/storage/analyses/93/shots/0001.jpg,/opt/CAPEv2/storage/analyses/93/shots/0041.jpg
94,43,33,66,0.5,0.1115,yes,0029.jpg,TRUE_ENCRYPTION,97,agree,/opt/CAPEv2/storage/analyses/94/shots/0001.jpg,/opt/CAPEv2/storage/analyses/94/shots/0043.jpg
95,57,42,66,0.6364,0.1659,yes,0038.jpg,TRUE_ENCRYPTION,107,agree,/opt/CAPEv2/storage/analyses/95/shots/0001.jpg,/opt/CAPEv2/storage/analyses/95/shots/0057.jpg
96,86,41,66,0.6212,0.1765,yes,0078.jpg,TRUE_ENCRYPTION,99,agree,/opt/CAPEv2/storage/analyses/96/shots/0001.jpg,/opt/CAPEv2/storage/analyses/96/shots/0086.jpg
97,57,36,66,0.5455,0.1539,yes,0052.jpg,TRUE_ENCRYPTION,111,agree,/opt/CAPEv2/storage/analyses/97/shots/0001.jpg,/opt/CAPEv2/storage/analyses/97/shots/0057.jpg
98,43,49,66,0.7424,0.2169,yes,0016.jpg,TRUE_ENCRYPTION,96,agree,/opt/CAPEv2/storage/analyses/98/shots/0001.jpg,/opt/CAPEv2/storage/analyses/98/shots/0043.jpg
99,4,4,66,0.0606,0.037,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/99/shots/0001.jpg,/opt/CAPEv2/storage/analyses/99/shots/0004.jpg
100,4,8,66,0.1212,0.0423,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/100/shots/0001.jpg,/opt/CAPEv2/storage/analyses/100/shots/0004.jpg
101,2,4,66,0.0606,0.0381,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/101/shots/0001.jpg,/opt/CAPEv2/storage/analyses/101/shots/0002.jpg
102,38,42,66,0.6364,0.1618,yes,0029.jpg,TRUE_ENCRYPTION,97,agree,/opt/CAPEv2/storage/analyses/102/shots/0001.jpg,/opt/CAPEv2/storage/analyses/102/shots/0038.jpg
103,37,37,66,0.5606,0.1691,yes,0021.jpg,TRUE_ENCRYPTION,101,agree,/opt/CAPEv2/storage/analyses/103/shots/0001.jpg,/opt/CAPEv2/storage/analyses/103/shots/0037.jpg
104,34,33,66,0.5,0.107,yes,0031.jpg,TRUE_ENCRYPTION,102,agree,/opt/CAPEv2/storage/analyses/104/shots/0001.jpg,/opt/CAPEv2/storage/analyses/104/shots/0034.jpg
